"year","bias_medio","bias_sd","n"
2019,3.84186387439565,1.71418658173756,25
2020,2.45190916344552,1.65258183977041,10
2021,4.43206203400938,1.97914066724856,19
2022,3.57404279612656,3.0114462057452,10
2023,3.37972688959752,1.64111841101786,13
2024,4.38654336416336,1.98660454860563,62
