"cell_id","cell_lon","cell_lat","year","month","ym","xco2_mean_oco2_oco3","xco2_mean_gosat2","n_obs_oco2_oco3","n_obs_gosat2","diff_ppm","media_ppm","season"
"-47.5_-7.5",-47.5,-7.5,2019,8,"2019-08",409.029064552457,411.411310831706,204,6,2.38224627924905,410.220187692081,"seca"
"-47.5_-8.5",-47.5,-8.5,2020,6,"2020-06",411.196650395898,414.143839518229,463,3,2.94718912233117,412.670244957064,"seca"
"-47.5_-8.5",-47.5,-8.5,2022,7,"2022-07",416.857145267063,419.878143310547,720,3,3.02099804348416,418.367644288805,"seca"
"-47.5_-9.5",-47.5,-9.5,2019,6,"2019-06",409.444780906041,414.596057128906,384,5,5.15127622286479,412.020419017474,"seca"
"-47.5_-9.5",-47.5,-9.5,2019,8,"2019-08",409.605957775581,413.778971354167,82,6,4.17301357858554,411.692464564874,"seca"
"-48.5_-10.5",-48.5,-10.5,2023,9,"2023-09",418.955317591762,419.274342854818,111,3,0.319025263056005,419.11483022329,"seca"
"-48.5_-12.5",-48.5,-12.5,2019,5,"2019-05",408.128230264742,413.590560913086,146,4,5.46233064834388,410.859395588914,"seca"
"-48.5_-12.5",-48.5,-12.5,2019,9,"2019-09",409.763191223145,413.679840087891,196,4,3.91664886474609,411.721515655518,"seca"
"-48.5_-7.5",-48.5,-7.5,2024,6,"2024-06",423.017181396484,424.57236735026,12,3,1.55518595377606,423.794774373372,"seca"
"-48.5_-7.5",-48.5,-7.5,2024,8,"2024-08",422.334537564195,425.80723063151,394,3,3.47269306731511,424.070884097853,"seca"
"-48.5_-9.5",-48.5,-9.5,2024,7,"2024-07",422.594477399995,429.295572916667,158,3,6.70109551667161,425.945025158331,"seca"
"-48.5_-9.5",-48.5,-9.5,2024,8,"2024-08",422.60563659668,431.074440002441,150,4,8.46880340576172,426.840038299561,"seca"
"-49.5_-11.5",-49.5,-11.5,2021,7,"2021-07",414.365753310678,415.918121337891,223,3,1.55236802721237,415.141937324284,"seca"
"-49.5_-11.5",-49.5,-11.5,2024,8,"2024-08",421.450967962092,427.021789550781,44,3,5.57082158868963,424.236378756436,"seca"
"-49.5_-12.5",-49.5,-12.5,2021,7,"2021-07",414.433144391593,416.910166422526,472,3,2.4770220309328,415.67165540706,"seca"
"-49.5_-3.5",-49.5,-3.5,2024,7,"2024-07",423.397665262222,427.250620524089,128,3,3.85295526186627,425.324142893155,"seca"
"-49.5_-6.5",-49.5,-6.5,2019,7,"2019-07",411.234156494141,413.428741455078,25,5,2.1945849609375,412.331448974609,"seca"
"-49.5_-6.5",-49.5,-6.5,2019,8,"2019-08",409.393411796784,413.974731445312,321,3,4.58131964852879,411.684071621048,"seca"
"-49.5_-6.5",-49.5,-6.5,2024,7,"2024-07",422.360956678829,426.248677571615,239,3,3.88772089278513,424.304817125222,"seca"
"-49.5_-7.5",-49.5,-7.5,2024,7,"2024-07",422.54044144603,427.635650634766,313,4,5.09520918873551,425.088046040398,"seca"
"-49.5_-7.5",-49.5,-7.5,2024,8,"2024-08",422.813288778528,427.600067138672,711,4,4.78677836014418,425.2066779586,"seca"
"-50.5_-4.5",-50.5,-4.5,2024,8,"2024-08",422.86686644683,426.068979899089,296,3,3.2021134522584,424.467923172959,"seca"
"-50.5_-7.5",-50.5,-7.5,2024,8,"2024-08",424.616523742676,427.104583740234,4,3,2.48805999755859,425.860553741455,"seca"
"-50.5_-9.5",-50.5,-9.5,2019,7,"2019-07",410.095500105518,414.0603515625,236,5,3.96485145698159,412.077925834009,"seca"
"-50.5_-9.5",-50.5,-9.5,2019,8,"2019-08",410.221326828003,413.639638264974,32,3,3.41831143697101,411.930482546488,"seca"
